;sample_full;tax_rank;taxid;abundance;Kingdom;Phylum;Class;Order;Family;Genus;Species
1;ProCg1;4;N60685_25506;0.086627886;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
2;ProCg2;4;N60685_25506;0.11130098;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
3;ProCg3;4;N60685_25506;0.087018837;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
4;ProCk1;2;N60685_25506;0.184733258;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
5;ProCk2;4;N60685_25506;0.129092638;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
6;ProCk3;2;N60685_25506;0.152895348;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
7;ProLAaltg1;5;N60685_25506;0.005557271;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
8;ProLAaltg2;6;N60685_25506;0.005961844;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
9;ProLAaltg3;9;N60685_25506;0.011318795;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
10;ProLAaltk1;18;N60685_25506;0.000312072;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
11;ProLAaltk2;13;N60685_25506;0.00343949;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
12;ProLAaltk3;12;N60685_25506;0.003597223;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
13;ProLAneug1;8;N60685_25506;0.007474128;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
14;ProLAneug2;8;N60685_25506;0.006744225;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
15;ProLAneug3;7;N60685_25506;0.012787724;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
16;ProLAneuk1;12;N60685_25506;0.001670844;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
17;ProLAneuk2;11;N60685_25506;0.000535523;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
18;ProLAneuk3;11;N60685_25506;0.000827632;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
19;ProLFaltg1;6;N60685_25506;0.014241724;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
20;ProLFaltg2;7;N60685_25506;0.006997455;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
21;ProLFaltg3;9;N60685_25506;0.001408715;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
22;ProLFaltk1;5;N60685_25506;0.020881301;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
23;ProLFaltk2;7;N60685_25506;0.010528024;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
24;ProLFaltk3;6;N60685_25506;0.009720074;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
25;ProLFneug1;9;N60685_25506;0.001464681;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
26;ProLFneug2;7;N60685_25506;0.001610682;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
27;ProLFneug3;9;N60685_25506;0.001330365;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
28;ProLFneuk1;10;N60685_25506;0.001058681;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
29;ProLFneuk2;13;N60685_25506;0.000975939;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
30;ProLFneuk3;9;N60685_25506;0.002194595;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
31;ProPAaltg1;4;N60685_25506;0.038619407;Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;NA
